gcid,weight_mg,gcid2,expID,batchID,samplename,genotype,genotype2,modelpred,model,pred,leafcolor,leafshape,rootshape,AGI,aerialpart_weight
MeKO_09_40_1,0.055556,MeKO_09_40_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,col_Jun08_1_10,col0,col-0,pred,nodata,MeKO_09_40_1    ,normal,normal,normal,noinfo,29.6
MeKO_09_41_1,0.055556,MeKO_09_41_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,79_1,ixr12,ixr1-2,pred,nodata,MeKO_09_41_1    ,normal,normal,normal,AT5G05170,34.8
MeKO_09_42_1,0.055556,MeKO_09_42_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,79_3,ixr12,ixr1-2,model,MeKO_09_42_1    ,nodata,normal,normal,normal,AT5G05170,26.9
MeKO_09_43_1,0.055556,MeKO_09_43_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,79_4,ixr12,ixr1-2,pred,nodata,MeKO_09_43_1    ,normal,normal,normal,AT5G05170,23.6
MeKO_09_44_1,0.055556,MeKO_09_44_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,79_5,ixr12,ixr1-2,pred,nodata,MeKO_09_44_1    ,normal,normal,normal,AT5G05170,32.5
MeKO_09_45_1,0.055556,MeKO_09_45_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,79_7,ixr12,ixr1-2,pred,nodata,MeKO_09_45_1    ,normal,normal,normal,AT5G05170,33.1
MeKO_09_46_1,0.055556,MeKO_09_46_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,79_8,ixr12,ixr1-2,pred,nodata,MeKO_09_46_1    ,normal,normal,normal,AT5G05170,10
MeKO_09_47_1,0.055556,MeKO_09_47_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,79_9,ixr12,ixr1-2,pred,nodata,MeKO_09_47_1    ,normal,normal,normal,AT5G05170,41.7
MeKO_09_48_1,0.055556,MeKO_09_48_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,79_10,ixr12,ixr1-2,model,MeKO_09_48_1    ,nodata,normal,normal,normal,AT5G05170,34.6
MeKO_09_49_1,0.055556,MeKO_09_49_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,28_1,eto11,eto1-1,pred,nodata,MeKO_09_49_1    ,palegreen,normal,normal,AT3G51770,22.8
MeKO_09_50_1,0.055556,MeKO_09_50_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,28_3,eto11,eto1-1,pred,nodata,MeKO_09_50_1    ,palegreen,normal,normal,AT3G51770,18.3
MeKO_09_51_1,0.055556,MeKO_09_51_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,28_4,eto11,eto1-1,pred,nodata,MeKO_09_52_1    ,palegreen,normal,normal,AT3G51770,14.6
MeKO_09_52_1,0.055556,MeKO_09_52_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,28_5,eto11,eto1-1,pred,MeKO_09_52_1    ,nodata,palegreen,normal,normal,AT3G51770,10.5
MeKO_09_53_1,0.055556,MeKO_09_53_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,28_6,eto11,eto1-1,pred,nodata,MeKO_09_53_1    ,palegreen,normal,normal,AT3G51770,12.3
MeKO_09_54_1,0.055556,MeKO_09_54_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,28_7,eto11,eto1-1,pred,nodata,MeKO_09_54_1    ,palegreen,normal,normal,AT3G51770,21.1
MeKO_09_55_1,0.055556,MeKO_09_55_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,28_8,eto11,eto1-1,pred,nodata,MeKO_09_55_1    ,palegreen,normal,normal,AT3G51770,8.9
MeKO_09_56_1,0.055556,MeKO_09_56_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,28_9,eto11,eto1-1,model,MeKO_09_56_1    ,nodata,palegreen,normal,normal,AT3G51770,12.8
MeKO_09_57_1,0.055556,MeKO_09_57_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,col　_lot3_2_1,col0,col-0,pred,nodata,MeKO_09_57_1    ,normal,normal,normal,noinfo,31.6
MeKO_09_58_1,0.055556,MeKO_09_58_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,col　_lot3_2_2,col0,col-0,pred,nodata,MeKO_09_58_1    ,normal,normal,normal,noinfo,24.3
MeKO_09_59_1,0.055556,MeKO_09_59_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,col　_lot3_2_3,col0,col-0,pred,nodata,MeKO_09_59_1    ,normal,normal,normal,noinfo,29.7
MeKO_09_60_1,0.055556,MeKO_09_60_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,col　_lot3_2_4,col0,col-0,pred,nodata,MeKO_09_60_1    ,normal,normal,normal,noinfo,30.7
MeKO_09_61_1,0.055556,MeKO_09_61_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,col　_lot3_2_6,col0,col-0,pred,nodata,MeKO_09_61_1    ,normal,normal,normal,noinfo,26.1
MeKO_09_62_1,0.055556,MeKO_09_62_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,col　_lot3_2_7,col0,col-0,pred,nodata,MeKO_09_62_1    ,normal,normal,normal,noinfo,24.1
MeKO_09_63_1,0.055556,MeKO_09_63_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,col　_lot3_2_8,col0,col-0,pred,nodata,MeKO_09_63_1    ,normal,normal,normal,noinfo,37.3
MeKO_09_64_1,0.055556,MeKO_09_64_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,col　_lot3_2_10,col0,col-0,pred,nodata,MeKO_09_64_1    ,normal,normal,normal,noinfo,27.3
